id,x,y
812,1613055.28,4841560
813,1613055.82,4842125.33
814,1613055.989,4840628.04
815,1613057.225,4841872.153
816,1613058.28,4841714.72
817,1613059.12,4841090.15
818,1613060.15,4841007.3
819,1613060.189,4841792.212
820,1613060.53,4841373.11
821,1613061.676,4840096.434
822,1613061.79,4840688.61
823,1613063.33,4842103.48
824,1613065.68,4840061.962
825,1613066.07,4841147.45
826,1613069.21,4840755.94
827,1613069.508,4841112.016
828,1613069.871,4841084.11
829,1613070.03,4841184.24
830,1613070.11,4841370.02
831,1613072.63,4841110.4
832,1613074.396,4841139.374
833,1613075.13,4840624.58
834,1613075.234,4840057.808
835,1613075.35,4841146.13
836,1613076.615,4841118.817
837,1613077.24,4840776.36
838,1613078.757,4840087.694
839,1613080.01,4840315.43
840,1613085.15,4841153.5
841,1613085.25,4841434.27
842,1613086.14,4841074.97
843,1613086.295,4841113.588
844,1613086.554,4841294.841
845,1613088.443,4840562.234
846,1613089.04,4841556.93
847,1613091.12,4841474.74
848,1613093.798,4841902.938
849,1613094.134,4840048.254
850,1613094.49,4841169.236
851,1613094.73,4840800
852,1613095.153,4841020.326
853,1613096.44,4840350.41
854,1613097.552,4840491.383
855,1613098.28,4841151.68
856,1613098.58,4841326.64
857,1613099.5,4842233.43
858,1613101.12,4841351.39
859,1613102.89,4842379.1
860,1613104.69,4842305.46
861,1613104.792,4840074.373
862,1613105.027,4841888.62
863,1613105.34,4841162.58
864,1613105.948,4841287.437
865,1613105.96,4841401.22
866,1613108.43,4841437.67
867,1613110.453,4841463.14
868,1613111.37,4841474.68
869,1613114.71,4841059.53
870,1613115.96,4842303.01
871,1613116.29,4841555.07
872,1613118.55,4841484.75
873,1613118.85,4841320.38
874,1613119.01,4841474.24
875,1613119.377,4841945.931
876,1613126.01,4841869.6
877,1613130.67,4840818.37
878,1613130.96,4841553.96
879,1613130.96,4841717.45
880,1613131.061,4841935.445
881,1613131.2,4840424.66
882,1613134.4,4841485.97
883,1613135.74,4841466.52
884,1613140.056,4841441.668
885,1613143.66,4841405.23
886,1613144.93,4840963.02
887,1613145.42,4841311.11
888,1613146.157,4841552.884
889,1613147.25,4841350.28
890,1613147.83,4841037.06
891,1613148.612,4842485.888
892,1613150.31,4841512.38
893,1613151.398,4840563.175
894,1613157.15,4840610.02
895,1613157.643,4841443.58
896,1613158.59,4841126.94
897,1613162.89,4842450.34
898,1613162.96,4841349.92
899,1613165.48,4840276.93
900,1613165.92,4840957.44
901,1613166.05,4840941.25
902,1613166.71,4841021.96
903,1613171.022,4842460.942
904,1613171.51,4842351.56
905,1613171.64,4840946.82
906,1613172.43,4840870.31
907,1613172.63,4841300.38
908,1613179.32,4842226.59
909,1613181.93,4841348.37
910,1613183.06,4840974.21
911,1613185.13,4841446.68
912,1613185.58,4841402.16
913,1613186.853,4841512.857
914,1613187.233,4840999.154
915,1613187.982,4841500.424
916,1613188.318,4840726.569
917,1613189.26,4841292.85
918,1613191.908,4841407.449
919,1613191.92,4842286.83
920,1613192.12,4841719.39
921,1613192.63,4841106.25
922,1613192.88,4841252.42
923,1613193.097,4840679.85
924,1613193.35,4840993.08
925,1613194.61,4842491.47
926,1613200,4841347.39
927,1613200.116,4841398.195
928,1613201.275,4840071.972
929,1613204.38,4840686.875
930,1613205.51,4842435.5
931,1613207.09,4840976.35
932,1613207.6,4841596.39
933,1613208.01,4840277.38
934,1613208.57,4840389.37
935,1613213.7,4841093.61
936,1613214.51,4840599.92
937,1613216.55,4841561.29
938,1613220.96,4841275.97
939,1613222.02,4840937.07
940,1613223.13,4840609.33
941,1613225.028,4841535.493
942,1613225.92,4842329.35
943,1613226.42,4840941.36
944,1613228.12,4840010.67
945,1613228.38,4840922.44
946,1613228.41,4840040.213
947,1613229.94,4840284.99
948,1613231.07,4840005.1
949,1613232.41,4841347.09
950,1613232.548,4840715.151
951,1613232.84,4842185.63
952,1613233.01,4841513.46
953,1613233.95,4841266.88
954,1613235.091,4840699.325
955,1613235.305,4840679.573
956,1613236.198,4840900.598
957,1613240.76,4842163.69
958,1613241.25,4841454.7
959,1613241.383,4840004.809
960,1613243.976,4840661.08
961,1613244.234,4840693.076
962,1613245.18,4840875.662
963,1613246.949,4840870.422
964,1613249.61,4840277.17
965,1613249.68,4841721.79
966,1613249.81,4841257.21
967,1613249.83,4840004.57
968,1613250.06,4841223.5
969,1613251.58,4841070.31
970,1613251.783,4840087.159
971,1613253.88,4841346.57
972,1613253.944,4841326.329
973,1613257.15,4842417.34
974,1613258.07,4840765.78
975,1613258.49,4840717.2
976,1613260.301,4840684.03
977,1613261.031,4840831.904
978,1613261.68,4841617.13
979,1613263.01,4840838.59
980,1613264.35,4841243.5
981,1613267.356,4841571.071
982,1613267.889,4840918.659
983,1613270.17,4840879.61
984,1613270.693,4840664.739
985,1613270.82,4841543.45
986,1613273,4840327.78
987,1613273.306,4840835.738
988,1613273.358,4840824.784
989,1613273.61,4840889.91
990,1613273.8,4842174.9
991,1613274.97,4841210.32
992,1613275.24,4841996
993,1613275.9,4841294.49
994,1613276.4,4840834.75
995,1613277.113,4842475.005
996,1613277.149,4840906.38
997,1613277.26,4841495.82
998,1613277.976,4840635.881
999,1613278.04,4842270.74
